[00:00] 讓我們掌聲歡迎我們今天的主講者馬克揚老師來跟大家分享
[34:31] 不一定是斷頭
[34:32] 可以是淨值非常接近零之類的
[34:35] 好那但是呢
[34:38] 當然確實
[34:40] 期貨它台子旗
[34:42] 它有開到超過15倍槓桿以上的選擇
[34:46] 可能接近17倍
[34:47] 那個股旗的話
[34:49] 大概有開到7倍以上槓桿的選擇
[34:52] 那也就是說它可以開更高的槓桿
[34:55] 那可以開更高的槓桿
[34:57] 其實雖然說
[35:00] 那你就不要開那麼高槓桿就好啦
[35:03] 那我們都一樣開兩倍槓桿
[35:05] 那你就一定壓制了這個
[35:07] 這個另外一個選擇
[35:09] 但是
[35:10] 實際上我們在玩這些
[35:13] 金錢遊戲的過程中
[35:14] 是很容易On Tilt
[35:16] 上頭的
[35:17] 其實不只是玩金錢遊戲啦
[35:20] 這個很多人他們可能
[35:22] 打個Low
[35:23] 打個召喚峽谷
[35:24] 其實也是賭那個積分
[35:26] 也是可以打到非常上頭
[35:28] 非常燒的
[35:29] 所以就是打遊戲都還是有可能會
[35:34] 會上頭會很燒
[35:36] 那所以我們還是一樣
[35:38] 就是需要有這個情緒管理制度來
[35:42] 就是控制自己
[35:43] 不要去做這個很不好的事情這樣
[35:46] 那當然這個是另外一個話題
[35:48] 另外一個主題
[35:49] 那所以正二他們其實
[35:52] 他們被禁止交易期貨
[35:55] 就只是說因為很多人說期貨很危險
[36:00] 所以我媽說期貨很危險
[36:02] 叫我不要交易期貨
[36:03] 這個是他們被禁止交易槓桿型
[36:06] 被禁止被交易期貨
[36:08] 所以只能交易槓桿型ETF的原因
[36:11] 但是就是
[36:13] 除非他媽真的很兇
[36:15] 不然的話我媽禁止我交易期貨
[36:19] 不一定會是一個很強的限制
[36:21] 其實現在的時代跟ChairGPT學習
[36:29] 就已經可以學會了怎麼樣做股票跟期貨的組合單
[36:35] 然後怎麼樣做正確的再平衡
[36:38] 然後不要太高頻率的再平衡
[36:40] 其實就是現在有ChairGPT真的各式各樣的這些事情都是滿好解決的
[36:47] 就是滿好學習的
[36:48] 就我自己去年有四個月在拉斯維加斯
[36:52] 然後我學習21點其實也是跟這個CHAT GPT學的
[36:58] 那因為當然我是很確定就是我要學習的這個東西
[37:03] 它不是那麼有開創性
[37:05] 而且它已經被人類的知識共同體學習的研究的蠻透徹詳細了
[37:12] 大概在60年前
[37:14] 這個21點的最佳模型的做法
[37:18] 就已經除形就已經大致上完整
[37:21] 那可能在中間的過程中
[37:23] 人類的論文還有再提出了Optimo 1
[37:28] Optimo 2或者是更複雜的算盤系統
[37:31] 但是我的意思是說就是
[37:33] 至少我跟確實GPT學習
[37:36] 可以學到滿正確的知識
[37:38] 因為它不是一個
[37:39] 例如說如何登陸火星這種
[37:42] 人類其實還不確定怎麼做會比較好的事情
[37:46] 那但是呢
[37:47] 跟CHATGP學或是Jimmy Lai學數學的缺點是
[37:51] 畢竟他們還是LLM
[37:53] 就是大型語言模型
[37:56] 那大型語言模型
[37:58] 它本質上還是一個文字接龍遊戲
[38:01] 就是它去預測每一個字
[38:03] 後面比較有可能出現什麼字
[38:05] 那所以CHATGP剛出來的時候
[38:07] 大家可能知道你就算問他32乘以58
[38:10] 他都沒有辦法回答出正確的答案
[38:13] 因為他就是在亂回答
[38:15] 但是現在這些模型他們引入了一些
[38:19] 數學的思考的額外的這個model
[38:23] 來強化這件事情
[38:25] 不過在問他比較困難複雜數學的時候
[38:28] 大概你問我自己感覺
[38:31] 大概問三個問題
[38:33] 他會有一個問題是回答錯的
[38:36] 所以如果你要跟他学习
[38:41] 例如说期货或者是21点的话
[38:44] 最好你是
[38:45] 例如说你是工程师
[38:48] 你本来就有一定程度的数学程度
[38:50] 那这样的话这件事情会是可行的
[38:54] 因为你本来就有一定的数学的概念
[38:58] 那所以在这个LLM
[39:00] 讲了一个错误的数学逻辑的时候
[39:04] 你一定可以发现
[39:05] 他描述的那个数学逻辑是错的
[39:08] 那在这样的情况下的话
[39:10] 就是很适合直接跟Chad GPT学习
[39:14] 这个数学或者是很多事情
[39:17] 好那这个
[39:19] 我们先继续讲这个逐线的主题
[39:24] 就是学习期货的话
[39:27] 就是你可以自己选择杠杆倍数
[39:30] 那就像我们说的
[39:31] 就是你维持在两倍杠杆左右的话
[39:34] 是会是比较好的
[39:36] 那虽然数学上两二点多倍会再更好一点
[39:41] 但是这个我们后面会讲
[39:43] 所以有精神力等级的问题
[39:45] 就是有可能你会没有办法下注那么大的尺度
[39:50] 那你可能要下降到1.2倍1.4倍
[39:54] 或是你自己真的可以正确执行这个策略的下注尺度
[39:59] 好那但是呢至少就是
[40:03] 你使用期貨是可以完全壓制
[40:07] 這個純粹使用槓桿型ETF或現貨的選項
[40:12] 好 那我們今天第一個學到的就是
[40:18] 在博弈論 Game Theory裡面的這個首課分析
[40:23] Pirate Dominance 還有完全裂解
[40:27] 應該現在大家都知道這三個詞語它的意思
[40:31] 還有你在思考的時候怎麼使用這些
[40:35] 那這個不只是在股票期貨這個遊戲裡面可以使用
[40:40] 就是你在玩各種遊戲的時候
[40:43] 只要你需要做選擇
[40:45] 那幾乎都是很常可以使用首歌分析
[40:50] 首歌分析就是一個很常用的思考方式
[40:53] 它不是一個股票的招數
[40:56] 它是一個思考的方式
[40:58] 那就是為什麼我可以玩這麼多不同的遊戲
[41:03] 然後很快就可以上手
[41:05] 可能就或者是發展策略
[41:07] 或者是判斷怎麼樣做比較好
[41:09] 就是我會很多很多的遊戲的技巧
[41:14] 那例如說首歌分析就是其中一種技巧嘛
[41:17] 那這些技巧呢
[41:18] 它們都是更general
[41:20] 更泛用在各式各樣的思考裡面
[41:24] 那所以就是
[41:26] 你在遇到新的場景的時候
[41:28] 你可以馬上的套用一個抽象的pattern
[41:34] 就是抽象的一個規律
[41:37] 那就可以就是找到比較好的選擇
[41:43] 好那當然上面講的
[41:45] 就是例如說
[41:46] 這個38塊的雪碧 45塊
[41:50] 或者是鋼感型ETF
[41:51] 或者是正二
[41:52] 或者是要不要買-10%還是-15%的大盤
[41:56] 這些都是非常簡單只有增加好處
[41:59] 減少壞處的選項之間的比較
[42:02] 但是實際上我們可以遇到的問題
[42:07] 我的意思是說
[42:08] 不是每個問題都一定可以用首歌分析來排序的
[42:13] 或者是說
[42:14] 其實大部分的問題
[42:16] 很可能不能用首歌分析排序
[42:19] 我指的只是說
[42:21] 至少如果它有很多的部分相同
[42:24] 就是這些選項之間
[42:26] 它有很多地方相同的時候
[42:28] 你至少可以簡化這個問題
[42:31] 那像是說一個很複雜的首歌分析
[42:34] 譬如說手搖杯一杯是八十塊
[42:37] 兩杯是一百二十塊
[42:39] 那你想要喝手搖杯
[42:41] 居然有另一個選項是兩杯一百二
[42:43] 那你要不要買兩杯一百二十塊
[42:47] 好 那覺得就是兩杯一百二十塊
[42:52] 有支配一杯八十塊這個選項的人舉手
[43:02] 覺得兩杯一百二沒有支配一杯八十的舉手
[43:09] 大家舉手蠻踴躍的
[43:11] 看起來我講的還不是很好
[43:15] 大概還是有十趴的人
[43:18] 應該大概還是有一百個人
[43:19] 覺得兩杯一百二有壓制支配一杯八十
[43:24] 好 那我们还是往前看一下好了
[43:30] 就是它是没有压制它的
[43:33] 就是如果一个方案它在所有的维度
[43:39] 都比另外一个方案更好或者是一样
[43:44] 它才有dominate另外一个方案
[43:48] 那一杯80跟两杯120
[43:52] 它是两杯120的坏处是它要多付40块
[43:57] 但好处是它多拿到一杯饮料
[43:59] 所以它在价钱的维度是比较劣势
[44:04] 但它在拿到的饮料的维度是比较优势
[44:08] 因为它多拿到一杯饮料
[44:09] 所以它就没有Pirate Dominance
[44:13] 它没有支配另外一个选项
[44:14] 这个大家可以听懂吗
[44:18] 这个跟我刚刚说的
[44:20] 如果你买咖啡是一杯两万块
[44:25] 那两杯一万块
[44:27] 这个话是由dominate
[44:30] 因为一个是一杯变成两杯
[44:35] 你拿到更多的咖啡
[44:36] 然后还少一万块
[44:38] 那在两个维度都是变得更好
[44:40] 所以两杯一万块支配了一杯两万块
[44:44] 虽然90%的人是有举对
[44:46] 但是还是有一些人没有举对
[44:49] 所以我们还是
[44:49] 我希望就是
[44:51] 毕竟我以前是补习班老师
[44:53] 希望所有的同学都非常的清楚的
[44:57] 学会每一个单元
[44:58] 好不好
[44:59] 好
[45:01] 那这个首歌分析是怎么做呢
[45:04] 首歌分析是我们要剔除相同的部分
[45:07] 只比较不一样的地方
[45:09] 那所以我们两个都剔除了
[45:11] 一杯八十的部分
[45:13] 也就是说你要比较的是
[45:15] 你花四十块买第二杯
[45:19] 是不是划算的
[45:21] 那这个要考虑的是
[45:23] 不是说你花40块买一杯划不划算
[45:26] 因为实际上你买的是第二杯40块划不划算
[45:30] 那有可能你只有一个人
[45:32] 然后你在逛街
[45:34] 那你一次买两杯
[45:35] 那你可能也喝不下两杯
[45:38] 你可能只能请店员喝或是干嘛的
[45:40] 但是如果你真的蛮喜欢这个饮料
[45:43] 你可以喝两杯
[45:44] 那可能第二杯的价值还是有40
[45:47] 那所以你要考慮的是
[45:49] 你要愿不愿意多花40块买第二杯
[45:53] 那可能有些人会想到的是说
[45:56] 我这样摊平变成是一杯平均60
[45:59] 那这个也是不正确的思考方式
[46:01] 因为你应该思考的就是
[46:03] 纯粹是不是要多花40买第二杯
[46:06] 这个是首个分析删去了一样的部分之后
[46:11] 只比较不同的部分
[46:12] 然后需要分析的部分
[46:15] 好那所以确实这个是比较复杂的首歌分析
[46:19] 就是他在某些维度是好
[46:22] 某些维度是不好的
[46:24] 那就是实际上有很多复杂的问题
[46:29] 都会是没有办法用首歌分析
[46:32] 直接比较出好坏
[46:33] 例如说现在同时有三个男孩子在追你
[46:37] 这个A他是长得比较高
[46:40] B是这个比较帅
[46:42] C是体力比较好
[46:44] 那又比较有钱
[46:45] 可能ABC它們之間在各個維度
[46:51] 有的是這個好 有的是那個好
[46:53] 你不一定能夠純粹用首歌分析進行排序跟比較
[47:00] 好 首歌分析我就是打出一些
[47:06] 我當時馬上可以想到
[47:09] 很適合用首歌分析去思考的問題在股市裡面
[47:14] 因为就是有可能我讲甜心卡或者是什么饮料咖啡
[47:19] 大家会觉得说
[47:20] 如果不熟悉抽象思考的人会觉得
[47:23] 你讲了这个在股市里面真的可以应用吗
[47:27] 但是就是如果你比较熟悉一些抽象思考
[47:30] 你会马上知道是可以的嘛
[47:32] 不过还是举一些这个具体的例子
[47:34] 例如说选择权的富士组合单
[47:37] 那这个你是要纯粹的sale put sale call
[47:42] 还是你要在200点外或100点外做价外保护
[47:47] 然后这个让那可能它会变不一样
[47:51] 就是很多人会觉得说
[47:53] 卖方的这个风险是无限的
[47:56] 但是如果你是做了一个富士的组合单
[47:59] 那就是你的收益跟风险都会变成是有限的
[48:04] 就是一个固定的上下限
[48:06] 然后另外它也会这个
[48:08] 使用到SPAN的保证金的节省机制
[48:12] 就是你最多就变成只能输那么多钱
[48:16] 例如说你最多就只能输五千块
[48:19] 那所以你需要的保证金就是五千块
[48:22] 那因为你使用的保证金可以变得更少了
[48:26] 所以你可以按的口数就大幅的增加了
[48:29] 那所以在另外一个维度上
[48:31] 它又获得额外的好处
[48:32] 好
[48:34] 那我发现因为我完全没有解释选择权是什么
[48:39] 所以直接这样讲的话
[48:41] 這一段可能大家會有點聽不太懂
[48:44] 反正呢
[48:45] 這個就是在各式各樣
[48:48] 例如說剛剛舉例的是
[48:50] 股市中各種不同開槓桿方式的比較
[48:53] 這個大家可能會更親近於
[48:57] 這個沒有那麼專業的玩家
[48:59] 例如說如果你都是一樣
[49:02] 希望在股市裡面維持120%總資金的槓桿
[49:07] 那其實你有很多種開槓桿的方式
[49:10] 例如说我们简化
[49:12] 我们都是希望1.2倍杠杆
[49:16] 做多台股的大盘
[49:18] 那你可以买0050融资
[49:23] 你可以去信贷
[49:26] 然后买0050的一倍正股
[49:29] 你可以就是增贷你的房贷
[49:33] 去买0050
[49:34] 你可以刚刚说的买杠杆型ETF
[49:38] 你可以现货加期货组合单
[49:42] 那这些呢就是一个非常非常适合首个分析的情况
[49:47] 因为它会有非常非常多一样的部分
[49:51] 你只需要去比较少少的不一样的部分
[49:56] 那这样的话哪一个选项
[49:58] 就是你两个选项相比
[50:00] A方案是不是比B方案更好
[50:03] 就会非常明确
[50:05] 那当然这个你在比较的时候
[50:08] 我刚举的那些例子
[50:09] 我没有办法直接说
[50:10] 对于特定一个人
[50:12] 是哪一个比较好的话
[50:14] 是因为看你可以谈到的利率是多少
[50:16] 就是你在这个方案里面
[50:19] 你可以支付的利率是越低的
[50:22] 那就是一定是更好的方案
[50:26] 那因为这个跟信用有关系
[50:29] 就是你原本越有钱
[50:32] 或者是你爸妈越有钱
[50:35] 可以帮你签保人
[50:36] 或者是你的家族可以用房子帮你贷款
[50:41] 或者是甚至零利率的
[50:44] 你直接说让你爸借你钱
[50:47] 借你20%你的总资产
[50:49] 零利率
[50:50] 这个都是有可能的
[50:52] 就看你的信用如何
[50:54] 好
[50:55] 我相信应该有很多人
[51:00] 他们现在是想说
[51:01] 我希望在股市里面开杠杆
[51:04] 但是我不确定融资买050还是说用台资期
[51:09] 还是用杠杆型ETF还是用什么样的方式会是比较好的
[51:14] 那这个就是一个很适合用首个分析来进行比较的问题
[51:19] 好那这个
[51:22] 好我每个都还是快速的讲好了
[51:25] 强弱一多一空的组合单
[51:28] 例如说都是航运
[51:30] 然后这个长荣扬名万海
[51:32] 那你觉得哪一个比另外一个更强
[51:35] 你就多其中一个空另外一个
[51:37] 比如说你觉得他账商现金更多
[51:39] 或者他未来开展性更好
[51:42] 那或者是不同的跨族群
[51:45] 你觉得A族群基本上会比B族群
[51:48] 在接下来更强
[51:50] 那你就做多A族群
[51:51] 做空B族群
[51:52] 这是一多一空的组合单
[51:54] 然后衍生性商品的结算价的话
[51:58] 就是股票或期货
[52:01] 那这个我之前YouTube有拍过
[52:03] 就是在衍盛新商品
[52:06] 它在快要结算的时候
[52:08] 是有可能你做的那个选择
[52:10] 是不好到它一定被另外一个选择压制
[52:14] 也就是它额外只多了坏处
[52:16] 没有增加好处
[52:18] 然后选择权在一些特别的情况里面
[52:23] 你主动的去平仓它
[52:25] 会比自然结算还更好
[52:28] 就是不是说可以成交在更好的价格
[52:31] 就是纯粹在这个就是手续费跟税的规则上
[52:37] 每一孔会好一点点
[52:40] 那当然如果你的口数变得更多的话
[52:42] 那你总共就是会变得更好
[52:45] 那这个也是蛮适合首个分析
[52:48] 然后在ETF的折益价
[52:51] 例如说你可以同时
[52:54] 这个有不同的方式买到等效的商品
[52:58] 就它的效果是相同的商品
[53:00] 那可能有的是有折一架的
[53:03] 然後或者是
[53:05] 等效商品也不一定是ETF嘛
[53:07] 也可以是衍生性商品
[53:09] 那就是等效商品之間
[53:12] 有可能會有一個選項是確定比較不好
[53:15] 是一個完全裂解
[53:17] 那就是你至少首歌分析
[53:20] 你可以不要選到完全裂解
[53:22] 好 那這個首歌分析是
[53:27] 各種遊戲中泛用的思考方式
[53:29] 可以排序不同選擇的優劣好壞
[53:32] 就是它是排除一個一定不好選這樣的方法
[53:40] 至少讓你不要選到完全裂解
[53:43] 然後這邊是
[53:47] 因為我覺得大部分的人看到這個影片
[53:50] 或是這堂演講的時候
[53:51] 應該本來就知道馬克想是誰
[53:53] 所以我就把這個一些介紹就是移到中間後面
[53:58] 那就是我以前是這個
[54:02] 這個有當過一段時間
[54:05] 魯斯戰記的電競選手跟實況主
[54:07] 然後我曾經連續三個月都有打到亞服的錦衣
[54:12] 然後那時候是翠玉德的時期
[54:15] 翠玉德應該也是我在整個遊戲過程中
[54:18] 玩得最好的一個派組
[54:20] 而且就是在翠玉德內戰的時候非常強
[54:25] 好 那這個
[54:26] 這也是一種遊戲嘛
[54:28] 然后之前也有开过这个补习班教数学
[54:33] 主要是教数学
[54:34] 然后因为我后来就有希望
[54:41] 把我的资产的类型更加的分散
[54:44] 就是股票 期货 房地产
[54:47] 然后私人产权
[54:48] 然后可能版权 奢侈品
[54:51] 就是各种东西
[54:52] 希望我的资产之间的联动性不要那么大
[54:56] 所以我也是有投资一些私人公司的股权
[54:59] 那当时我就买了一个金模枪公司的股份
[55:04] 然后买到自己变成那个公司最大的股东
[55:07] 然后就是选自己当了一段时间的董事长
[55:12] 去稍微影响里面的这个公司的情况
[55:19] 那当时是公司已经快要倒闭了
[55:22] 然后就是做了一些改善优化
[55:26] 然后就节省开支之类的
[55:29] 那现在公司也是非常稳定的在运行
[55:33] 那当时会做当然也是
[55:35] 这个他们的产品是非常非常好的嘛
[55:39] 就是在这个他们的那个价位的带
[55:45] 就是价位区间
[55:47] 他们是台湾最好的产品
[55:50] 然后每一年可以卖到两万多只的这个筋膜枪
[55:54] 那所以就是如果要买筋膜枪的话
[55:58] 这个就是它是一种舒缓肌肉的运动筋膜枪
[56:01] 那这是一个很不错的选择
[56:03] 然后呢
[56:06] 最近也有投资健康餐
[56:08] 这个叫Feeling Pasta
[56:09] 他们的这个食物是比较高级
[56:12] 比较稍微比较贵一点的健康餐
[56:14] 但是真的比较高级
[56:17] 然后也品质非常好
[56:19] 然后就是很不错
[56:22] 就在信義區基隆路那邊
[56:27] 因為會聽這個影片或是看這個
[56:32] 聽這場演講的人應該也是
[56:35] 在台北的話是中高收入以上
[56:40] 是非常不錯
[56:41] 也可以點看看這個Feeling Pasta
[56:44] 它的在那個外送也是點得到的
[56:49] 好 然後我在二十幾歲的時候就
[56:52] 沒有繼續當醫生
[56:53] 然後每一年都可以在好幾個月出國
[56:59] 去年應該有六個多月是不在台灣的
[57:03] 就是比較閒散比較悠閒這樣
[57:07] 雖然當然我去年也都是有掛在
[57:11] 或是今年是有掛在群益期貨的投顧的部門這邊
[57:17] 不過我的工作內容就是每三個月辦一次演講
[57:22] 所以平常都完全不用去公司
[57:26] 要出國什麼的都是可以
[57:29] 當然也是謝謝大家來
[57:32] 非常不錯
[57:34] 然後這個群一期貨的投顧實驗部
[57:38] 就是負責來辦演講
[57:41] 希望大家可以來聽
[57:43] 然後我也當過21點的算牌手
[57:47] 那這個是
[57:49] 因為其實我每一年都會盡量學習
[57:52] 一到兩件不同心的事情
[57:56] 然後我去年其實也有打那個Shadowverse
[57:59] 暗影十章打到伺服器第一名
[58:02] 然後我今年也有玩那個璀璨寶石
[58:05] 就是反正我每一年
[58:06] 當然我今年也有健身啦
[58:08] 就是不一定是智力運動的項目
[58:10] 可能也可以是
[58:13] 我以前有當過足球校隊
[58:15] 也有當過紅石智慧的游泳的救生員
[58:19] 就是反正每一年我
[58:22] 現在對我來說就是體驗各種不同的東西
[58:25] 學習各種不同的東西
[58:27] 那這對我來說都是很棒的新的體驗
[58:31] 只是呢 大家用這個
[58:35] 通常還是會是說
[58:38] 這件事情可以賺錢的話
[58:40] 那這個是你做的正事
[58:42] 那就是你做了一個正事是21點
[58:45] 然後你同時又有在打遊戲
[58:48] 但其實對我來說都是
[58:51] 做了很多不同
[58:52] 就是每一年學習了很多不同新的東西
[58:55] 然後體驗了不同的生活
[58:56] 然後我覺得21點
[59:00] 就是是非常適合台灣或者是
[59:06] 其實也包括中國、日本
[59:08] 就是亞洲年輕男性的這個
[59:13] 我們其實是有一個數學的天賦
[59:16] 就是因為大家可能沒有去過歐美國家
[59:20] 不知道我們的那個種族天賦跟他們
[59:23] 其實是有真的蠻大的差異的
[59:25] 就是
[59:27] 就是雖然聽起來像刻板印象
[59:29] 但實際上是真的差距非常大
[59:31] 就是美國他們可以
[59:34] 讓21點的這麼好的規則繼續運行
[59:37] 就是因為美國人的數學真的非常的差
[59:40] 那他這個要做到這件事情
[59:45] 大概是只需要練習200到300個小時就可以做到
[59:50] 就是接近世界頂尖的水準
[59:52] 然後它的難度大概就只是高中的數學的程度
[59:56] 甚至可能都不一定要那麼難
[1:00:01] 因為我有交過一個我很好的朋友
[1:00:06] 他是一個很壯很壯的健身教練
[1:00:09] 就是身形像犯馬勇次長一樣
[1:00:12] 非常非常的壯
[1:00:14] 那這個很壯很壯的人
[1:00:16] 通常數學不會很好嘛
[1:00:18] 这是真的啊
[1:00:20] 这当然啊
[1:00:21] 就是你问馆长数学
[1:00:22] 他数学应该不一定会很好
[1:00:25] 这个是
[1:00:25] 这一定是真的
[1:00:26] 我的意思是说
[1:00:27] 就是不一定要到数学
[1:00:28] 非常非常好
[1:00:30] 其实然后他
[1:00:31] 他也是跟我学
[1:00:33] 然后他也是被拉斯维加斯的
[1:00:35] 所有赌场
[1:00:36] 高额赌场全部都封杀
[1:00:37] 所以就是对我们
[1:00:40] 亚洲年轻男性来说
[1:00:41] 应该是蛮容易做到的一件事情
[1:00:45] 然后很适合一辈子
[1:00:48] 要体验一次
[1:00:49] 就是它是一个真的很棒的体验
[1:00:51] 但是要做到这件事情
[1:00:53] 大概我觉得流动现金资产
[1:00:59] 要在一千万或两千万以上
[1:01:03] 会比较适合做这件事情
[1:01:05] 因为就是你在下高额区的话
[1:01:09] 它才可以给你开这么好的规则
[1:01:11] 那你可能会有很多次会是需要
[1:01:14] 就是一把是下一万美金
[1:01:17] 大概是30萬台幣左右吧
[1:01:19] 那所以就是它一定是會有波動的
[1:01:22] 如果你這一把牌
[1:01:23] 平均來說會贏賭場1000美金
[1:01:29] 但是它是有可能你變成
[1:01:33] 你下一萬嘛
[1:01:35] 有可能變成零
[1:01:36] 也可能變成兩萬
[1:01:37] 只是數學上平均
[1:01:38] 你會贏賭場1000美金
[1:01:41] 但是那個是一個平均
[1:01:44] 就是你实际的结果会是零或两万
[1:01:48] 那当然如果你这个多次的做这件事情
[1:01:53] 你赌场让你
[1:01:57] 因为你可以总共大概可以去十个赌场玩
[1:01:59] 那所以你可以下注的这个次数
[1:02:03] 如果大概到一千次以上的话
[1:02:05] 那总体加起来赔钱的
[1:02:08] 加起来是输钱的机会是非常非常非常非常非常低
[1:02:14] 就是就等于是你开百家乐给赌场玩这样子
[1:02:19] 那当然所以你就是要有资金
[1:02:21] 我的意思是说
[1:02:22] 如果你是在台湾的工程师
[1:02:26] 当然医生其实如果你是数学比较好的医生的话
[1:02:31] 也都非常的适合一辈子去体验一次这件事情
[1:02:36] 大概需要花七到十天去美国
[1:02:40] 然后这会变成你一辈子很难忘的经历
[1:02:44] 我觉得我自己可以感受到那段时间
[1:02:47] 我是有一种自我实践的感觉
[1:02:50] 就是我这辈子做了
[1:02:53] 前面做了这么多不同的事情
[1:02:55] 然后它刚好累积汇聚起来
[1:02:59] 让我可以做到完成这件事情
[1:03:02] 例如说我会数学
[1:03:04] 所以我可以做到算牌
[1:03:06] 然后我是医生的身份
[1:03:09] 所以看起来比较笨
[1:03:10] 所以就是赌场会觉得
[1:03:12] 我是來一個有錢的豪客
[1:03:15] 可能就是來亂玩的
[1:03:18] 當然如果你是一個工程師的話
[1:03:21] 可能看起來就比較不好一點
[1:03:23] 這肯定是這樣
[1:03:25] 不過當然我的面相還是不太好
[1:03:28] 我的面相其實看起來就是算數學的人
[1:03:31] 所以就是我跟我的健身教練很壯的徒弟
[1:03:36] 我們一起去同一個賭場算牌
[1:03:39] 然後我們兩個都被禁止玩這個遊戲
[1:03:42] 但是我是被保全趕出去
[1:03:44] 但是他是被請到貴賓廳問說
[1:03:47] 你要不要玩百家樂
[1:03:49] 然後送他一個月總統套房
[1:03:53] 說你要不要住
[1:03:55] 所以其實面相還是有差的
[1:03:58] 那就是畢竟其實我
[1:04:01] 就是面相其實通常都是蠻真實的
[1:04:03] 就是如果一個人看到我
[1:04:05] 然後覺得我是一個數學家
[1:04:07] 其實很可能我就真的是一個數學家
[1:04:09] 賭場亂猜還是蠻有用的篩選方式
[1:04:15] 好 那好
[1:04:16] 反正我的意思就是說
[1:04:19] 21點目前地球上
[1:04:22] 我猜美國的拉斯維加斯
[1:04:25] 應該會繼續讓好的規則維持在那裡
[1:04:30] 如果你是在台灣的工程師
[1:04:33] 然後你流動資產現金有超過一千萬的話
[1:04:37] 一輩子可以去體驗一次這件事情
[1:04:39] 平均來說
[1:04:41] EV純粹算EV的話
[1:04:42] 大概去一趟會贏200萬台幣左右
[1:04:45] 所以是這個很適合體驗一次
[1:04:48] 我覺得就不只是錢的
[1:04:52] 就是你會覺得你自己好像是電影主角一樣
[1:04:56] 就是決勝21點
[1:04:58] 然後這個保全跟賭場主管走過來說
[1:05:02] No more blackjack, don't deal to him
[1:05:04] 不要再跟他玩了
[1:05:05] 他就是不要再給他玩Blackjack
[1:05:08] 然後我就 哇 這個事情真的非常有趣
[1:05:13] 好 然後這個
[1:05:17] 反正我做了很多事情呢
[1:05:19] 其實都是同一套的思想體系
[1:05:21] 在很多不同領域的應用
[1:05:23] 就是數學 遊戲策略 行為經濟學
[1:05:26] 然後資金管理
[1:05:27] 那因為像是首歌分析
[1:05:30] 就是其中一種數學思考的方式嘛
[1:05:33] 那如果我會的是首歌分析
[1:05:36] 而不是說我很會某一個
[1:05:40] 例如說跳得很高跑得很快
[1:05:43] 那我可能可以在更多的領域
[1:05:46] 就是很快的就可以套用那個pattern
[1:05:50] 好然後再講另外一個
[1:05:52] 也是最近又有再遇到一次的
[1:05:55] 反正我就都是講最近遇到的
[1:05:58] 就是免費送你錢的選擇權
[1:06:01] 這個幾乎完全不知道選擇權遊戲規則的舉手
[1:06:07] 好 蠻厲害的
[1:06:12] 這個大概感覺只有三分之一的人是幾乎完全不知道
[1:06:16] 所以蠻好的
[1:06:17] 反正選擇權就是玩家跟玩家之間可以對賭
[1:06:22] 然後就是真正的莊家還是奇交所跟這個中華民國政府
[1:06:30] 但是就是玩家跟玩家之間對賭
[1:06:35] 然後有一個是賣方一個是買方
[1:06:37] 那賣方有點像是莊稼的角色
[1:06:40] 反正賣方可以跟買方收一筆錢
[1:06:44] 一筆權利金
[1:06:45] 那他們賭的標的就是說
[1:06:48] 我們賭某一個商品在某一天
[1:06:51] 會不會超過或低於某一個價錢
[1:06:54] 那只要有超過這個價錢一的話
[1:06:59] 我可能就付你50块这样子
[1:07:01] 那这是一个这样的约定
[1:07:03] 例如说我们赌台积电在100天之后
[1:07:06] 会不会超过4000块
[1:07:08] 那每超过1我就付你100块
[1:07:12] 类似像这样的赌局
[1:07:13] 这个应该大家都听得懂吧
[1:07:15] 好那但是呢
[1:07:16] 台股是有一天10%的涨跌停限制的
[1:07:20] 所以例如说现在台积电
[1:07:23] 如果我们减化2000多
[1:07:25] 我们减化成2000
[1:07:26] 那我们赌明天台积电现在是2000
[1:07:32] 收盘是2000
[1:07:33] 我们赌明天台积电会不会低于1790块
[1:07:41] 那每低于1790块一块钱
[1:07:44] 我就付你一万块
[1:07:45] 那这个实际上还是一个无风险的
[1:07:48] 因为在游戏规则上
[1:07:49] 2000最多明天就是变成1800
[1:07:53] 那它没有办法变成1790以下
[1:07:57] 就是就算这个
[1:07:58] 就是中共明天就直接射飞弹射过来
[1:08:02] 那最多也就是跌停
[1:08:03] 没有办法跌到1800以下
[1:08:06] 因为这个是游戏规则的限制
[1:08:08] 好
[1:08:09] 那所以呢
[1:08:11] 如果是超过一天的单日涨跌停限制
[1:08:15] 比如说今天是2000
[1:08:16] 那或是大盘是4万的时候
[1:08:18] 那在44000以上或3600以下的
[1:08:23] 选择权
[1:08:24] 如果他们赌的是大盘的结算价的话
[1:08:27] 那实际上在前一天的日盘收盘的时候
[1:08:31] 那个选择权的价值就已经归零了
[1:08:33] 就是他一定没有办法会走进这个履约的范围
[1:08:38] 那但是呢
[1:08:41] 造势商他们有合约
[1:08:43] 他们有造势的义务
[1:08:45] 就是他们必须一定要提供流动性
[1:08:49] 那所以呢
[1:08:50] 他们在这个当天如果股市有大涨或大跌的话
[1:08:56] 他们有可能会错误的跟你买价值为零的东西
[1:09:02] 那当然这是他们城市的预设
[1:09:04] 就是他们的造市的义务合约
[1:09:09] 他们必须要做这件事情
